"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC108002530",154.807,165.526,176.314,42.655,39.407,39.99,101.363,81.134,92.761,100.226,106.671,138.312,161.055,160.023,149.477
"LOC107999130",5.322,5.406,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEH14_t14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trnac-gca_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107995546",4.144,8.418,7.93,42.417,38.456,29.977,24.524,35.277,29.619,32.947,24.726,26.857,19.106,26.355,20.655
"LOC107993060",189.439,200.58,193.881,180.064,180.912,179.623,173.696,205.81,187.109,145.954,129.433,142.26,108.137,108.274,108.302
"LOC114576972",55.316,61.808,59.82,1.258,2.167,1.971,11.343,4.991,13.13,3.869,3.947,6.697,7.17,9.775,7.374
"LOC107995792",6.859,5.911,9.75,7.94,9.261,8.145,5.848,5.876,4.221,0.565,0.489,0.705,0.114,0.135,0.215
"LOC107998256",67.466,66.485,64.296,69.724,62.296,66.242,61.431,69.349,65.789,63.363,64.354,57.782,40.793,37.313,37.759
"LOC107997134",24.375,26.26,22.109,36.892,37.749,36.077,30.488,29.816,30.707,24.467,27.25,25.594,21.528,21.907,21.911
"LOC114577569",0.397,0.605,0.353,0,0,0,0,0,0.183,0.54,0.175,0,0.109,0,0.103
"LOC108001644",77.377,77.23,87.198,84.503,79.73,81.559,49.42,57.44,49.275,48.956,51.013,42.746,44.37,42.964,39.542
"LOC107997209",328.01,327.264,327.969,33.853,35.47,34.835,80.206,76.385,79.148,59.048,57.201,64.131,61.397,59.449,64.357
"LOC108001334",0,0,0,0.303,0,0,0.547,0,0.586,0.777,0.28,1.383,1.57,2.169,1.974
"LOC107993141",58.745,61.145,63.148,129.912,129.341,137.532,114.862,105.493,111.801,89.169,89.859,98.393,191.838,201.46,191.932
"LOC114578224",0,0,0,0.301,0.162,0.505,0.339,0.497,0.291,1.542,2.012,3.03,2.143,3.229,3.917
"LOC107998046",12.811,16.947,13.129,43.82,47.789,44.364,3.592,3.046,3.117,15.398,11.381,14.283,20.644,17.457,24.403
